timestamp,left_raw_left_shoulder,left_smoothed_left_shoulder,left_state,left_repetitions,left_rom_min,left_rom_max,left_rom,right_raw_right_shoulder,right_smoothed_right_shoulder,right_state,right_repetitions,right_rom_min,right_rom_max,right_rom
1129180.583614,15.27245527237017,15.27245527237017,UNKNOWN,0,15.27245527237017,15.27245527237017,0.0,19.04174596977617,19.04174596977617,UNKNOWN,0,19.04174596977617,19.04174596977617,0.0
1129180.91662,15.21066114159251,15.24155820698134,UNKNOWN,0,15.24155820698134,15.27245527237017,0.03089706538882986,19.005638138229934,19.02369205400305,UNKNOWN,0,19.02369205400305,19.04174596977617,0.018053915773119655
1129181.005187,15.442486392874466,15.308534268945715,UNKNOWN,0,15.24155820698134,15.308534268945715,0.06697606196437533,19.04774083933897,19.03170831578169,UNKNOWN,0,19.02369205400305,19.04174596977617,0.018053915773119655
1129181.0976875,15.380393890007307,15.326499174211113,UNKNOWN,0,15.24155820698134,15.326499174211113,0.08494096722977318,19.074991204229136,19.04252903789355,UNKNOWN,0,19.02369205400305,19.04252903789355,0.018836983890501813
1129181.1760953,15.494746465654414,15.360148632499772,UNKNOWN,0,15.24155820698134,15.360148632499772,0.11859042551843224,18.941748306343502,19.02237289158354,UNKNOWN,0,19.02237289158354,19.04252903789355,0.02015614631001128
1129181.2631609,15.553321151982372,15.416321808422214,UNKNOWN,0,15.24155820698134,15.416321808422214,0.17476360144087444,18.834747592673672,18.980973216163044,UNKNOWN,0,18.980973216163044,19.04252903789355,0.06155582173050789
1129181.3523534,15.449187089536766,15.464026998011065,UNKNOWN,0,15.24155820698134,15.464026998011065,0.2224687910297245,18.56211934403587,18.892269457324225,UNKNOWN,0,18.892269457324225,19.04252903789355,0.1502595805693261
1129181.4304437,15.463744754267733,15.468278670289717,UNKNOWN,0,15.24155820698134,15.468278670289717,0.2267204633083768,18.5998042811105,18.802682145678535,UNKNOWN,0,18.802682145678535,19.04252903789355,0.23984689221501654
1129181.5153546,15.580144941017588,15.508228880491776,UNKNOWN,0,15.24155820698134,15.508228880491776,0.2666706735104363,18.649136643314268,18.717511233495564,UNKNOWN,0,18.717511233495564,19.04252903789355,0.3250178043979872
1129181.589755,15.596114889486508,15.528502565258194,UNKNOWN,0,15.24155820698134,15.528502565258194,0.2869443582768536,18.62460047746804,18.65408166772047,UNKNOWN,0,18.65408166772047,19.04252903789355,0.3884473701730826
1129181.6752309,15.51945115728575,15.52172856631887,UNKNOWN,0,15.24155820698134,15.528502565258194,0.2869443582768536,18.62260594341212,18.61165333786816,UNKNOWN,0,18.61165333786816,19.04252903789355,0.43087570002539266
1129181.7658258,15.633845072301922,15.558660162871899,UNKNOWN,0,15.24155820698134,15.558660162871899,0.3171019558905588,18.606056460610482,18.620440761183083,UNKNOWN,0,18.61165333786816,19.04252903789355,0.43087570002539266
1129181.8623016,15.585803056504213,15.583071823319196,UNKNOWN,0,15.24155820698134,15.583071823319196,0.34151361633785626,18.526542732869075,18.605788451534796,UNKNOWN,0,18.605788451534796,19.04252903789355,0.4367405863587557
1129181.9719018,16.12914148664215,15.692871132444107,UNKNOWN,0,15.24155820698134,15.692871132444107,0.45131292546276747,18.373467399310854,18.550654602734117,UNKNOWN,0,18.550654602734117,19.04252903789355,0.49187443515943485
1129182.0999723,20.68682735054209,16.711013624655227,UNKNOWN,0,15.24155820698134,16.711013624655227,1.4694554176738865,17.502953650149752,18.326325237270456,UNKNOWN,0,18.326325237270456,19.04252903789355,0.7162038006230951
1129182.1827032,23.33659611158284,18.27444261551464,UNKNOWN,0,15.24155820698134,18.27444261551464,3.0328844085333007,17.017236204150976,18.00525128941823,UNKNOWN,0,18.00525128941823,19.04252903789355,1.0372777484753222
1129182.2406816,32.08514265668718,21.564702132391695,UNKNOWN,0,15.24155820698134,21.564702132391695,6.3231439254103545,17.113224098063142,17.70668481690876,UNKNOWN,0,17.70668481690876,19.04252903789355,1.335844220984793
1129182.3085442,38.697603085098265,26.1870621381105,UNKNOWN,0,15.24155820698134,26.1870621381105,10.945503931129162,17.378207855606068,17.477017841456156,UNKNOWN,0,17.477017841456156,19.04252903789355,1.5655111964373951
1129182.3996289,43.26964345736189,31.615162532254452,UNKNOWN,0,15.24155820698134,31.615162532254452,16.373604325273114,17.448676355765414,17.29205963274707,UNKNOWN,0,17.29205963274707,19.04252903789355,1.7504694051464824
1129182.481661,53.26113018535009,38.13002309921605,UNKNOWN,0,15.24155820698134,38.13002309921605,22.88846489223471,16.801764032011487,17.151821709119417,UNKNOWN,0,17.151821709119417,19.04252903789355,1.890707328774134
1129182.5547564,55.9765971652339,44.658023309946266,UNKNOWN,0,15.24155820698134,44.658023309946266,29.416465102964928,16.669339253308657,17.082242318950954,UNKNOWN,0,17.082242318950954,19.04252903789355,1.9602867189425979
1129182.6225057,64.20205906317265,51.08140659124335,UNKNOWN,0,15.24155820698134,51.08140659124335,35.83984838426201,16.375384735794132,16.93467444649715,UNKNOWN,0,16.93467444649715,19.04252903789355,2.1078545913964
1129182.6949146,65.33219400853837,56.408324775931376,UNKNOWN,0,15.24155820698134,56.408324775931376,41.16676656895004,16.081860702231253,16.67540501582219,UNKNOWN,0,16.67540501582219,19.04252903789355,2.367124022071362
1129182.7780694,68.13608943827592,61.38161397211418,UNKNOWN,0,15.24155820698134,61.38161397211418,46.14005576513284,16.194961771141863,16.42466209889748,UNKNOWN,0,16.42466209889748,19.04252903789355,2.617866938996073
1129182.8480775,70.92499451022078,64.91438683708832,UNKNOWN,0,15.24155820698134,64.91438683708832,49.67282863010698,15.951441637471598,16.254597619989504,UNKNOWN,0,16.254597619989504,19.04252903789355,2.7879314179040477
1129182.9359038,76.30255143620846,68.97957769128323,UNKNOWN,0,15.24155820698134,68.97957769128323,53.73801948430189,15.868741839761373,16.094478137280042,UNKNOWN,0,16.094478137280042,19.04252903789355,2.9480509006135094
1129183.0109067,78.97362684189801,71.9338912470283,UNKNOWN,0,15.24155820698134,71.9338912470283,56.69233304004696,15.851655918544557,15.989732373830128,UNKNOWN,0,15.989732373830128,19.04252903789355,3.0527966640634236
1129183.0814326,80.55186857811344,74.97782616094332,UNKNOWN,0,15.24155820698134,74.97782616094332,59.736267953961985,15.954801259198485,15.964320485223576,UNKNOWN,0,15.964320485223576,19.04252903789355,3.0782085526699756
1129183.1621702,81.08912393761793,77.56843306081173,UNKNOWN,0,15.24155820698134,77.56843306081173,62.32687485383039,16.052207686852682,15.93576966836574,UNKNOWN,0,15.93576966836574,19.04252903789355,3.1067593695278113
1129183.2369568,81.34660034347567,79.6527542274627,UNKNOWN,0,15.24155820698134,79.6527542274627,64.41119602048136,15.99188147197615,15.943857635266648,UNKNOWN,0,15.93576966836574,19.04252903789355,3.1067593695278113
1129183.3078561,84.5214023163645,81.29652440349392,UNKNOWN,0,15.24155820698134,81.29652440349392,66.05496619651258,15.917483104857343,15.953605888285844,UNKNOWN,0,15.93576966836574,19.04252903789355,3.1067593695278113
1129183.3873132,85.57661789249354,82.61712261361302,UNKNOWN,0,15.24155820698134,82.61712261361302,67.37556440663168,15.938297342655055,15.97093417310794,UNKNOWN,0,15.93576966836574,19.04252903789355,3.1067593695278113
1129183.4667575,84.57498788835943,83.42174647566222,UNKNOWN,0,15.24155820698134,83.42174647566222,68.18018826868088,16.00074358521945,15.980122638312135,UNKNOWN,0,15.93576966836574,19.04252903789355,3.1067593695278113
1129183.5361314,85.51452150047966,84.30682598823455,UNKNOWN,0,15.24155820698134,84.30682598823455,69.06526778125321,16.08397859057929,15.986476819057458,UNKNOWN,0,15.93576966836574,19.04252903789355,3.1067593695278113
1129183.6166842,85.46573329043348,85.13065257762612,UNKNOWN,0,15.24155820698134,85.13065257762612,69.88909437064478,16.1466846400349,16.017437452669206,UNKNOWN,0,15.93576966836574,19.04252903789355,3.1067593695278113
1129183.6989161,88.58765600914917,85.94390331618305,UNKNOWN,0,15.24155820698134,85.94390331618305,70.70234510920172,16.587023775050596,16.151345586707855,UNKNOWN,0,15.93576966836574,19.04252903789355,3.1067593695278113
1129183.7868233,90.04504932079719,86.83758960184379,UNKNOWN,0,15.24155820698134,86.83758960184379,71.59603139486245,16.877818958128742,16.339249909802597,UNKNOWN,0,15.93576966836574,19.04252903789355,3.1067593695278113
1129183.8601874,96.26116399212808,89.17482482259751,UNKNOWN,0,15.24155820698134,89.17482482259751,73.93326661561618,18.05492139826583,16.75008547241187,UNKNOWN,0,15.93576966836574,19.04252903789355,3.1067593695278113
1129183.9453225,101.99116929431119,92.47015438136383,UNKNOWN,0,15.24155820698134,92.47015438136383,77.22859617438249,19.164993067589773,17.36628836781397,UNKNOWN,0,15.93576966836574,19.04252903789355,3.1067593695278113
