timestamp,raw_left_shoulder,smoothed_left_shoulder,state,repetitions,rom_min,rom_max,rom
972695.6120153,5.571806856626988,5.571806856626988,UNKNOWN,0,5.571806856626988,5.571806856626988,0.0
972695.7716517,5.3298710643013845,5.450838960464186,UNKNOWN,0,5.450838960464186,5.571806856626988,0.12096789616280201
972695.8604138,4.54506247305328,5.14891346466055,UNKNOWN,0,5.14891346466055,5.571806856626988,0.42289339196643727
972695.9399714,4.007784829732958,4.863631305928652,UNKNOWN,0,4.863631305928652,5.571806856626988,0.7081755506983356
972696.0308408,3.5225858986963745,4.5954222244821965,UNKNOWN,0,4.5954222244821965,5.571806856626988,0.9763846321447911
972696.1433909,2.7243791979368943,4.025936692744178,UNKNOWN,0,4.025936692744178,5.571806856626988,1.5458701638828094
972696.217921,2.412526469346877,3.4424677737532763,UNKNOWN,0,3.4424677737532763,5.571806856626988,2.1293390828737113
972696.2796904,2.2773854523788217,2.988932369618385,UNKNOWN,0,2.988932369618385,5.571806856626988,2.5828744870086027
972696.3419093,2.325557540851092,2.652486911842012,UNKNOWN,0,2.652486911842012,5.571806856626988,2.919319944784976
972696.4075696,2.2558867439796413,2.3991470808986652,UNKNOWN,0,2.3991470808986652,5.571806856626988,3.1726597757283224
972696.4680546,2.2835623299256147,2.3109837072964092,UNKNOWN,0,2.3109837072964092,5.571806856626988,3.2608231493305784
972696.5261409,2.2192309633744896,2.2723246061019315,UNKNOWN,0,2.2723246061019315,5.571806856626988,3.299482250525056
972696.6018891,2.1086134025587757,2.2385701961379225,UNKNOWN,0,2.2385701961379225,5.571806856626988,3.333236660489065
972696.66825,1.8263878671122569,2.1387362613901555,UNKNOWN,0,2.1387362613901555,5.571806856626988,3.433070595236832
972696.7335842,1.7962536482433544,2.046809642242898,UNKNOWN,0,2.046809642242898,5.571806856626988,3.5249972143840895
972696.7818452,1.6955809198473004,1.9292133602272354,UNKNOWN,0,1.9292133602272354,5.571806856626988,3.642593496399752
972696.8367643,1.6358002874204978,1.8125272250364368,UNKNOWN,0,1.8125272250364368,5.571806856626988,3.759279631590551
972696.8992626,1.884020648615298,1.7676086742477417,UNKNOWN,0,1.7676086742477417,5.571806856626988,3.804198182379246
972696.9538259,2.0443186625216443,1.811194833329619,UNKNOWN,0,1.7676086742477417,5.571806856626988,3.804198182379246
972697.0100212,2.299960294082001,1.9119361624973483,UNKNOWN,0,1.7676086742477417,5.571806856626988,3.804198182379246
972697.0736808,1.6116580778663276,1.8951515941011536,UNKNOWN,0,1.7676086742477417,5.571806856626988,3.804198182379246
972697.1242664,0.05904114839754776,1.579799766296564,UNKNOWN,0,1.579799766296564,5.571806856626988,3.9920070903304237
972697.1752126,1.9764108051141172,1.5982777975963276,UNKNOWN,0,1.579799766296564,5.571806856626988,3.9920070903304237
972697.2315739,2.1312552854148925,1.6156651221749772,UNKNOWN,0,1.579799766296564,5.571806856626988,3.9920070903304237
972697.3006767,4.2464817832122685,2.004969420001031,UNKNOWN,0,1.579799766296564,5.571806856626988,3.9920070903304237
972697.3650067,3.408377890817441,2.3643133825912535,UNKNOWN,0,1.579799766296564,5.571806856626988,3.9920070903304237
972697.410828,4.995739283038201,3.351653009519384,UNKNOWN,0,1.579799766296564,5.571806856626988,3.9920070903304237
972697.4622177,5.349292272087855,4.026229302914132,UNKNOWN,0,1.579799766296564,5.571806856626988,3.9920070903304237
972697.5238131,3.8677326506604204,4.373524775963237,UNKNOWN,0,1.579799766296564,5.571806856626988,3.9920070903304237
972697.6641259,15.158039111998232,6.555836241720431,UNKNOWN,0,1.579799766296564,6.555836241720431,4.976036475423866
972697.7301378,4.427299198806559,6.759620503318253,UNKNOWN,0,1.579799766296564,6.759620503318253,5.179820737021689
972697.7721148,32.646801801550595,12.289833007020732,UNKNOWN,0,1.579799766296564,12.289833007020732,10.710033240724169
972697.8315956,13.740356560721178,13.968045864747399,UNKNOWN,0,1.579799766296564,13.968045864747399,12.388246098450836
972697.8776482,7.463867831733809,14.687272900962075,UNKNOWN,0,1.579799766296564,14.687272900962075,13.107473134665511
972698.013767,22.478008170415702,16.15126671264557,UNKNOWN,0,1.579799766296564,16.15126671264557,14.571466946349005
972698.0848244,41.53656377089171,23.573119627062603,UNKNOWN,0,1.579799766296564,23.573119627062603,21.99331986076604
972698.1417893,46.68956912697314,26.38167309214711,UNKNOWN,0,1.579799766296564,26.38167309214711,24.801873325850547
