timestamp,left_raw_left_knee,left_smoothed_left_knee,left_state,left_repetitions,left_rom_min,left_rom_max,left_rom,right_raw_right_knee,right_smoothed_right_knee,right_state,right_repetitions,right_rom_min,right_rom_max,right_rom
1128706.7484908,150.61054756625623,,UNKNOWN,0,,,,166.10105976552356,,UNKNOWN,0,,,
1128706.9702503,173.11405047163495,,UNKNOWN,0,,,,168.46294251686194,,UNKNOWN,0,,,
1128707.0649372,175.6262762179987,,UNKNOWN,0,,,,172.7062135884593,,UNKNOWN,0,,,
1128707.1371784,175.24971835830152,,UNKNOWN,0,,,,175.4977612540654,,UNKNOWN,0,,,
1128707.1965635,176.44110414687609,,UNKNOWN,0,,,,179.36877487184492,,UNKNOWN,0,,,
1128707.2764128,177.55412774939043,,UNKNOWN,0,,,,178.77256487662018,,UNKNOWN,0,,,
1128707.3490624,178.52963760618408,,UNKNOWN,0,,,,174.32118359981567,,UNKNOWN,0,,,
1128707.4236287,175.8503123677435,,UNKNOWN,0,,,,175.12855316507452,,UNKNOWN,0,,,
1128707.491783,173.15186478991563,,UNKNOWN,0,,,,172.58712844373127,,UNKNOWN,0,,,
1128707.5734387,174.4233190065967,,UNKNOWN,0,,,,172.44200596907902,,UNKNOWN,0,,,
1128707.7111805,174.21928028144563,,UNKNOWN,0,,,,162.31308976723506,,UNKNOWN,0,,,
1128707.8152467,167.01821939372908,,UNKNOWN,0,,,,162.50173751690525,,UNKNOWN,0,,,
1128707.8856411,165.02051312880738,,UNKNOWN,0,,,,171.0186010301202,,UNKNOWN,0,,,
1128707.9563996,162.84855132645652,,UNKNOWN,0,,,,170.69806735615884,,UNKNOWN,0,,,
1128708.0227453,157.73150946044555,,UNKNOWN,0,,,,175.38480895603365,,UNKNOWN,0,,,
1128708.0957835,160.85879902600553,,UNKNOWN,0,,,,175.10823751150534,,UNKNOWN,0,,,
1128708.165958,164.16308932312015,,UNKNOWN,0,,,,174.76493826643974,,UNKNOWN,0,,,
1128708.2385118,165.51410030273868,,UNKNOWN,0,,,,175.47172473117553,,UNKNOWN,0,,,
1128708.3110503,167.9601889250227,,UNKNOWN,0,,,,177.3320860966038,,UNKNOWN,0,,,
1128708.3751197,169.58935573799423,,UNKNOWN,0,,,,178.7323620217026,,UNKNOWN,0,,,
1128708.4467213,171.55352440161553,,UNKNOWN,0,,,,179.59401616773889,,UNKNOWN,0,,,
1128708.5069176,173.99997227820282,,UNKNOWN,0,,,,178.16960240409153,,UNKNOWN,0,,,
1128708.5737775,175.51022992637948,,UNKNOWN,0,,,,178.77264822876268,,UNKNOWN,0,,,
1128708.6461842,176.40323604518144,,UNKNOWN,0,,,,178.18313832126472,,UNKNOWN,0,,,
1128708.7153116,176.63234008187206,,UNKNOWN,0,,,,178.42439169651823,,UNKNOWN,0,,,
1128708.7956798,176.67038254552895,,UNKNOWN,0,,,,179.05755028388617,,UNKNOWN,0,,,
1128708.8710625,178.16331200174463,,UNKNOWN,0,,,,179.35855525531102,,UNKNOWN,0,,,
1128708.9466088,178.4938789004195,,UNKNOWN,0,,,,179.54430110172513,,UNKNOWN,0,,,
1128709.0059228,179.22852776085261,,UNKNOWN,0,,,,179.58999426548104,,UNKNOWN,0,,,
