timestamp,posture,setup_ready,visible_landmarks,visibility_score,left_raw_left_elbow,left_smoothed_left_elbow,left_state,left_repetitions,left_rom_min,left_rom_max,left_rom,right_raw_right_elbow,right_smoothed_right_elbow,right_state,right_repetitions,right_rom_min,right_rom_max,right_rom
30386.957744,SITTING,True,6,0.6996783819049597,171.62109402280038,172.00396297205117,EXTENDED,0,172.00396297205117,174.00442785270977,2.0004648806585976,173.27852575512225,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30387.0086643,SITTING,True,6,0.6975459083914757,171.51831961581183,171.80253928383254,EXTENDED,0,171.80253928383254,174.00442785270977,2.201888568877223,173.07957902182102,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30387.0862324,SITTING,True,6,0.6964260581880808,171.46986466903698,171.64606964605207,EXTENDED,0,171.64606964605207,174.00442785270977,2.358358206657698,173.0316648812851,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30387.1409684,SITTING,True,6,0.692628238350153,171.35142829668555,171.53157472119608,EXTENDED,0,171.53157472119608,174.00442785270977,2.4728531315136877,173.3545823616242,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30387.2144914,SITTING,True,6,0.6905213613063097,171.2162539368033,171.4353921082276,EXTENDED,0,171.4353921082276,174.00442785270977,2.5690357444821643,172.61048749042996,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30387.2789191,SITTING,True,6,0.6884909700602293,171.1255568596449,171.3362846755965,EXTENDED,0,171.3362846755965,174.00442785270977,2.6681431771132793,172.15709833749906,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30387.3371197,SITTING,True,6,0.6887438371777534,171.02690077976732,171.23800090838762,EXTENDED,0,171.23800090838762,174.00442785270977,2.7664269443221485,172.095238611081,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30387.4069942,SITTING,True,6,0.6876347903162241,170.93215221337078,171.13045841725437,EXTENDED,0,171.13045841725437,174.00442785270977,2.8739694354553933,172.05178473315,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30387.4599988,SITTING,True,6,0.6866407878696918,170.8674100735664,171.0336547726305,EXTENDED,0,171.0336547726305,174.00442785270977,2.9707730800792547,171.9781568764376,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30387.5339923,SITTING,True,6,0.683659678325057,170.8564876591881,170.96170151710749,EXTENDED,0,170.96170151710749,174.00442785270977,3.042726335602282,171.5381009895994,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30387.6019768,SITTING,True,6,0.685842651873827,170.87536406727284,170.9116629586331,EXTENDED,0,170.9116629586331,174.00442785270977,3.09276489407668,171.51128895875775,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30387.6677257,SITTING,True,6,0.686837425455451,170.8736412604897,170.8810110547776,EXTENDED,0,170.8810110547776,174.00442785270977,3.1234167979321796,171.48988411747695,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30387.7207858,SITTING,True,6,0.6861691772937775,170.88110601863596,170.8708018158306,EXTENDED,0,170.8708018158306,174.00442785270977,3.1336260368791784,171.43707144086721,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30387.7791157,SITTING,True,6,0.6859060246497393,170.8579652007376,170.86891284126483,EXTENDED,0,170.86891284126483,174.00442785270977,3.1355150114449373,171.49643680793432,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30387.8455765,SITTING,True,6,0.6851064749062061,170.90099159943279,170.87781362931378,EXTENDED,0,170.86891284126483,174.00442785270977,3.1355150114449373,171.5151206231232,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30387.9247616,SITTING,True,6,0.6837152373045683,170.90291947915446,170.8833247116901,EXTENDED,0,170.86891284126483,174.00442785270977,3.1355150114449373,171.48621625482312,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30387.9943108,SITTING,True,6,0.6826111041009426,170.8501222147973,170.87862090255163,EXTENDED,0,170.86891284126483,174.00442785270977,3.1355150114449373,171.56823619316094,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30388.0551203,SITTING,True,6,0.6810163483023643,170.80423504693596,170.8632467082116,EXTENDED,0,170.8632467082116,174.00442785270977,3.1411811444981765,171.40310977447075,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30388.1174161,SITTING,True,6,0.6790316123515368,170.53560969804232,170.79877560767255,EXTENDED,0,170.79877560767255,174.00442785270977,3.2056522450372142,172.11200892138785,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30388.1925424,SITTING,True,6,0.6796739492565393,170.52146163355783,170.7228696144976,EXTENDED,0,170.7228696144976,174.00442785270977,3.2815582382121704,171.94856956678578,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30388.2623668,SITTING,True,6,0.6807506904006004,170.50367055796906,170.64301983026047,EXTENDED,0,170.64301983026047,174.00442785270977,3.3614080224492966,171.8726013384288,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30388.330827,SITTING,True,6,0.6809605471789837,170.37549461605104,170.54809431051123,EXTENDED,0,170.54809431051123,174.00442785270977,3.4563335421985357,171.56778590488864,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30388.4060693,SITTING,True,6,0.6805382054299116,170.43103619817046,170.47345454075813,EXTENDED,0,170.47345454075813,174.00442785270977,3.530973311951641,171.1265077637618,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30388.4681929,SITTING,True,6,0.6798528116196394,170.48246064382204,170.46282472991408,EXTENDED,0,170.46282472991408,174.00442785270977,3.541603122795692,170.840891587581,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30388.5250288,SITTING,True,6,0.6803100053220987,170.53327745394708,170.46518789399195,EXTENDED,0,170.46282472991408,174.00442785270977,3.541603122795692,171.17512526105466,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30388.5792499,SITTING,True,6,0.6803462486714125,170.5299879438274,170.47045137116362,EXTENDED,0,170.46282472991408,174.00442785270977,3.541603122795692,171.72991423419867,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30388.6298305,SITTING,True,6,0.6803780850023031,170.52110819536287,170.49957408702596,EXTENDED,0,170.46282472991408,174.00442785270977,3.541603122795692,171.8035738432839,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30388.6951163,SITTING,True,6,0.6802611332386732,170.51167198724124,170.51570124484013,EXTENDED,0,170.46282472991408,174.00442785270977,3.541603122795692,171.83287484527432,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30388.7621383,SITTING,True,6,0.6802653931081295,170.5182169304477,170.52285250216525,EXTENDED,0,170.46282472991408,174.00442785270977,3.541603122795692,171.88167584977333,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30388.8371388,SITTING,True,6,0.6790686696767807,170.63862475138058,170.54392196165196,EXTENDED,0,170.46282472991408,174.00442785270977,3.541603122795692,171.8711388425462,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30388.9104411,SITTING,True,6,0.675708906725049,170.81004567824337,170.59993350853514,EXTENDED,0,170.46282472991408,174.00442785270977,3.541603122795692,171.91359377888293,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30388.9575755,SITTING,True,6,0.6728817857801914,170.91375728063528,170.67846332558963,EXTENDED,0,170.46282472991408,174.00442785270977,3.541603122795692,171.93946485367422,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
30389.0007011,SITTING,True,6,0.6714169569313526,170.9846594466985,170.77306081748108,EXTENDED,0,170.46282472991408,174.00442785270977,3.541603122795692,171.67658314291978,,EXTENDED,0,166.99844239176255,169.52612729418004,2.5276849024174908
